feature	percentage_gene_gc_content	gene_biotype	start_position	end_position	hgnc_id	hgnc_symbol	length
ENSG00000003756	44.45	protein_coding	50088919	50119021	HGNC:9902	RBM5	30102
ENSG00000003987	40.26	protein_coding	17296794	17413528	HGNC:7454	MTMR7	116734
ENSG00000004059	56.14	protein_coding	127588386	127591700	HGNC:658	ARF5	3314
ENSG00000004139	51.55	protein_coding	28364356	28404049	HGNC:17074	SARM1	39693
ENSG00000004142	49.87	protein_coding	28346633	28357527	HGNC:23781	POLDIP2	10894
ENSG00000004399	58.3	protein_coding	129555214	129606676	HGNC:9107	PLXND1	51462
ENSG00000004455	46.32	protein_coding	33007986	33080996	HGNC:362	AK2	73010
ENSG00000004478	51.53	protein_coding	2794970	2805423	HGNC:3720	FKBP4	10453
ENSG00000004487	39.17	protein_coding	23019443	23083689	HGNC:29079	KDM1A	64246
ENSG00000004534	44.14	protein_coding	49940007	50100045	HGNC:9903	RBM6	160038
ENSG00000004660	57.17	protein_coding	3860315	3894891	HGNC:1469	CAMKK1	34576
ENSG00000004700	37.57	protein_coding	21468910	21501669	HGNC:9948	RECQL	32759
ENSG00000004766	34.82	protein_coding	93232340	93361123	HGNC:25956	VPS50	128783
ENSG00000004777	60.93	protein_coding	35774532	35788822	HGNC:23085	ARHGAP33	14290
ENSG00000004779	48.72	protein_coding	23581014	23596316	HGNC:7694	NDUFAB1	15302
ENSG00000004864	39.76	protein_coding	96120220	96322147	HGNC:10983	SLC25A13	201927
ENSG00000004866	39.15	protein_coding	116953238	117230176	HGNC:11351	ST7	276938
ENSG00000004897	38.66	protein_coding	47117703	47189422	HGNC:1728	CDC27	71719
ENSG00000004961	42.97	protein_coding	11111301	11123086	HGNC:4837	HCCS	11785
ENSG00000004975	55.13	protein_coding	7225342	7234517	HGNC:3086	DVL2	9175
ENSG00000005007	55.14	protein_coding	18831959	18868230	HGNC:9962	UPF1	36271
ENSG00000005020	36.94	protein_coding	26667068	26995239	HGNC:15687	SKAP2	328171
ENSG00000005022	52.54	protein_coding	119468422	119471396	HGNC:10991	SLC25A5	2974
ENSG00000005059	41.01	protein_coding	109560209	109688719	HGNC:26076	MCUB	128510
ENSG00000005075	54.98	protein_coding	102473128	102478922	HGNC:9197	POLR2J	5794
ENSG00000005100	45.78	protein_coding	5440917	5468982	HGNC:16718	DHX33	28065
ENSG00000005156	47.21	protein_coding	34980512	35009743	HGNC:6600	LIG3	29231
ENSG00000005175	36.55	protein_coding	47661249	47706030	HGNC:26151	RPAP3	44781
ENSG00000005189	39.89	protein_coding	20806429	20849665	HGNC:24661	REXO5	43236
ENSG00000005194	44.27	protein_coding	57428187	57447420	HGNC:28050	CIAPIN1	19233
ENSG00000005206	61.04	protein_coding	2328615	2355095	HGNC:30627	SPPL2B	26480
ENSG00000005238	54.68	protein_coding	35104112	35116341	HGNC:25666	ATOSB	12229
ENSG00000005243	52.71	protein_coding	48026167	48038030	HGNC:19356	COPZ2	11863
ENSG00000005302	42.85	protein_coding	11758159	11775772	HGNC:7370	MSL3	17613
ENSG00000005339	45.01	protein_coding	3725054	3880713	HGNC:2348	CREBBP	155659
ENSG00000005436	36.39	protein_coding	75652000	75710985	HGNC:1317	GCFC2	58985
ENSG00000005448	54.68	protein_coding	74421678	74425755	HGNC:25770	WDR54	4077
ENSG00000005469	37.43	protein_coding	87345664	87399794	HGNC:2366	CROT	54130
ENSG00000005483	39.74	protein_coding	104940943	105115019	HGNC:18541	KMT2E	174076
ENSG00000005486	47.79	protein_coding	75842602	75888926	HGNC:23082	RHBDD2	46324
ENSG00000005700	36.07	protein_coding	82169986	82247754	HGNC:17853	IBTK	77768
ENSG00000005801	41.43	protein_coding	3339261	3379222	HGNC:12986	ZNF195	39961
ENSG00000005810	35.75	protein_coding	77042474	77327094	HGNC:23386	MYCBP2	284620
ENSG00000005812	38.36	protein_coding	76992598	77027195	HGNC:13599	FBXL3	34597
ENSG00000005882	56.67	protein_coding	50094737	50112152	HGNC:8810	PDK2	17415
ENSG00000005889	40.77	protein_coding	24149173	24216255	HGNC:12869	ZFX	67082
ENSG00000005893	38.61	protein_coding	120426148	120469365	HGNC:6501	LAMP2	43217
ENSG00000006007	40.14	protein_coding	19501693	19522123	HGNC:29644	GDE1	20430
ENSG00000006015	60.22	protein_coding	18588685	18592337	HGNC:26098	REX1BD	3652
ENSG00000006025	57.84	protein_coding	47807372	47821803	HGNC:16387	OSBPL7	14431
ENSG00000006047	58.02	protein_coding	7288263	7294639	HGNC:17948	YBX2	6376
ENSG00000006062	49.97	protein_coding	45263119	45317029	HGNC:6853	MAP3K14	53910
ENSG00000006118	58.71	protein_coding	60924460	60937159	HGNC:31092	TMEM132A	12699
ENSG00000006125	39.93	protein_coding	35578046	35726413	HGNC:563	AP2B1	148367
ENSG00000006194	47.36	protein_coding	3283283	3301401	HGNC:13056	ZNF263	18118
ENSG00000006282	57.05	protein_coding	50543058	50555852	HGNC:26125	SPATA20	12794
ENSG00000006432	44.98	protein_coding	70722526	70809534	HGNC:6861	MAP3K9	87008
ENSG00000006451	39.66	protein_coding	39623565	39708120	HGNC:9839	RALA	84555
ENSG00000006453	46.78	protein_coding	98291650	98401090	HGNC:21649	BAIAP2L1	109440
ENSG00000006459	39.15	protein_coding	140084746	140176983	HGNC:22224	KDM7A	92237
ENSG00000006530	39.57	protein_coding	141551278	141655244	HGNC:21869	AGK	103966
ENSG00000006555	52.34	protein_coding	54779712	54801323	HGNC:26067	TTC22	21611
ENSG00000006576	37.66	protein_coding	77798773	77957503	HGNC:13411	PHTF2	158730
ENSG00000006607	45.58	protein_coding	241356285	241494841	HGNC:16460	FARP2	138556
ENSG00000006625	40.54	protein_coding	30496621	30504841	HGNC:21705	GGCT	8220
ENSG00000006634	36.72	protein_coding	87876216	87909553	HGNC:17364	DBF4	33337
ENSG00000006652	39.46	protein_coding	112422887	112481017	HGNC:5456	IFRD1	58130
ENSG00000006695	39.2	protein_coding	14069490	14231736	HGNC:2260	COX10	162246
ENSG00000006704	52.72	protein_coding	74453790	74602605	HGNC:4661	GTF2IRD1	148815
ENSG00000006712	52.37	protein_coding	39385629	39391154	HGNC:25459	PAF1	5525
ENSG00000006715	38.35	protein_coding	38722974	38932394	HGNC:12713	VPS41	209420
ENSG00000006744	48.02	protein_coding	12991612	13018065	HGNC:14198	ELAC2	26453
ENSG00000006756	48.88	protein_coding	2903972	2929349	HGNC:717	ARSD	25377
ENSG00000006757	40.45	protein_coding	7898247	7927739	HGNC:24887	PNPLA4	29492
ENSG00000006831	39.4	protein_coding	1688574	1788674	HGNC:24041	ADIPOR2	100100
ENSG00000007047	53.57	protein_coding	45079288	45305284	HGNC:13538	MARK4	225996
ENSG00000007080	55.84	protein_coding	17933015	17943991	HGNC:25171	CCDC124	10976
ENSG00000007168	42.41	protein_coding	2593183	2685615	HGNC:8574	PAFAH1B1	92432
ENSG00000007202	46.75	protein_coding	28614446	28645454	HGNC:28960	BLTP2	31008
ENSG00000007341	39.05	protein_coding	112523514	112620825	HGNC:18441	ST7L	97311
ENSG00000007376	67.17	protein_coding	784974	788397	HGNC:14173	RPUSD1	3423
ENSG00000007384	61.15	protein_coding	58059	76355	HGNC:20561	RHBDF1	18296
ENSG00000007392	47.33	protein_coding	188969	229463	HGNC:6723	LUC7L	40494
ENSG00000007520	62.41	protein_coding	1349240	1351878	HGNC:14175	TSR3	2638
ENSG00000007541	64.34	protein_coding	566995	584109	HGNC:14135	PIGQ	17114
ENSG00000007545	53.1	protein_coding	1612337	1677908	HGNC:14122	CRAMP1	65571
ENSG00000007866	56.75	protein_coding	35473597	35497079	HGNC:11716	TEAD3	23482
ENSG00000007923	46.6	protein_coding	6634168	6701924	HGNC:25570	DNAJC11	67756
ENSG00000007944	40.76	protein_coding	16129086	16151367	HGNC:21155	MYLIP	22281
ENSG00000007968	51.65	protein_coding	23506438	23531233	HGNC:3114	E2F2	24795
ENSG00000008018	39.78	protein_coding	170535120	170553307	HGNC:9537	PSMB1	18187
ENSG00000008083	43.92	protein_coding	15246069	15522042	HGNC:6196	JARID2	275973
ENSG00000008086	40.21	protein_coding	18425583	18653629	HGNC:11411	CDKL5	228046
ENSG00000008128	52.05	protein_coding	1702379	1724357	HGNC:1730	CDK11A	21978
ENSG00000008130	53.7	protein_coding	1751232	1780457	HGNC:29831	NADK	29225
ENSG00000008256	44.78	protein_coding	6161779	6272644	HGNC:9504	CYTH3	110865
ENSG00000008282	38.19	protein_coding	106090505	106112589	HGNC:11507	SYPL1	22084
ENSG00000008283	57.39	protein_coding	63432304	63446354	HGNC:2571	CYB561	14050
ENSG00000008294	40	protein_coding	50962174	51120868	HGNC:14524	SPAG9	158694
ENSG00000008300	59.87	protein_coding	48636463	48662886	HGNC:3230	CELSR3	26423
ENSG00000008323	55.71	protein_coding	6310436	6328506	HGNC:25562	PLEKHG6	18070
ENSG00000008324	46.56	protein_coding	42581840	42596934	HGNC:15593	SS18L2	15094
ENSG00000008382	55.95	protein_coding	4343527	4360086	HGNC:25934	MPND	16559
ENSG00000008394	36.94	protein_coding	16347142	16609259	HGNC:7061	MGST1	262117
ENSG00000008405	37.55	protein_coding	106991364	107093549	HGNC:2384	CRY1	102185
ENSG00000008441	55.31	protein_coding	12995475	13098796	HGNC:7788	NFIX	103321
ENSG00000008513	49.39	protein_coding	133454848	133571926	HGNC:10862	ST3GAL1	117078
ENSG00000008516	58.88	protein_coding	3046062	3060729	HGNC:14246	MMP25	14667
ENSG00000008517	53.36	protein_coding	3065297	3082192	HGNC:16830	IL32	16895
ENSG00000008710	63.1	protein_coding	2088708	2135898	HGNC:9008	PKD1	47190
ENSG00000008838	50.63	protein_coding	40019097	40061215	HGNC:22963	MED24	42118
ENSG00000008869	38.6	protein_coding	36968383	37084372	HGNC:29273	HEATR5B	115989
ENSG00000008952	36.6	protein_coding	169966635	169998373	HGNC:11846	SEC62	31738
ENSG00000008988	41.73	protein_coding	56067254	56074510	HGNC:10405	RPS20	7256
ENSG00000009307	38.28	protein_coding	114716913	114758676	HGNC:29905	CSDE1	41763
ENSG00000009335	42.11	protein_coding	157138926	157269370	HGNC:16803	UBE3C	130444
ENSG00000009413	36.9	protein_coding	111299028	111483715	HGNC:9968	REV3L	184687
ENSG00000009780	43.38	protein_coding	27725961	27763116	HGNC:28530	FAM76A	37155
ENSG00000009790	45.61	protein_coding	209756032	209782320	HGNC:30766	TRAF3IP3	26288
ENSG00000009830	47.08	protein_coding	77274956	77320883	HGNC:19743	POMT2	45927
ENSG00000009844	35.53	protein_coding	142147162	142224685	HGNC:20954	VTA1	77523
ENSG00000009954	43.19	protein_coding	73440406	73522293	HGNC:961	BAZ1B	81887
ENSG00000010017	37.08	protein_coding	13621498	13711835	HGNC:13727	RANBP9	90337
ENSG00000010030	49.34	protein_coding	36354091	36387800	HGNC:18160	ETV7	33709
ENSG00000010072	41.57	protein_coding	231337104	231355023	HGNC:25356	SPRTN	17919
ENSG00000010165	43.61	protein_coding	171781660	171814023	HGNC:24248	METTL13	32363
ENSG00000010219	42.77	protein_coding	4562208	4615302	HGNC:3095	DYRK4	53094
ENSG00000010244	38.46	protein_coding	32350132	32381885	HGNC:12998	ZNF207	31753
ENSG00000010256	53.04	protein_coding	48599002	48610976	HGNC:12585	UQCRC1	11974
ENSG00000010270	38.39	protein_coding	38178245	38230670	HGNC:19169	STARD3NL	52425
ENSG00000010278	51.04	protein_coding	6199715	6238271	HGNC:1709	CD9	38556
ENSG00000010292	46.34	protein_coding	6493356	6531955	HGNC:24305	NCAPD2	38599
ENSG00000010295	54.33	protein_coding	6538961	6556073	HGNC:24970	IFFO1	17112
ENSG00000010318	45.17	protein_coding	52410660	52423641	HGNC:18458	PHF7	12981
ENSG00000010322	53.28	protein_coding	52455118	52493068	HGNC:18006	NISCH	37950
ENSG00000010327	60.65	protein_coding	52495338	52524495	HGNC:18628	STAB1	29157
ENSG00000010361	52.28	protein_coding	49806866	49817376	HGNC:26219	FUZ	10510
ENSG00000010404	45.34	protein_coding	149476988	149521096	HGNC:5389	IDS	44108
ENSG00000010539	43.67	protein_coding	3222325	3236221	HGNC:12993	ZNF200	13896
ENSG00000010610	48.56	protein_coding	6786858	6820799	HGNC:1678	CD4	33941
ENSG00000010671	43.18	protein_coding	101349338	101390796	HGNC:1133	BTK	41458
ENSG00000010704	44.86	protein_coding	26087226	26098343	HGNC:4886	HFE	11117
ENSG00000010803	39.54	protein_coding	41027202	41242306	HGNC:19003	SCMH1	215104
ENSG00000010818	38.72	protein_coding	142751469	142956698	HGNC:4921	HIVEP2	205229
ENSG00000011007	45.21	protein_coding	23743448	23762059	HGNC:11620	ELOA	18611
ENSG00000011009	62.33	protein_coding	23791110	23795539	HGNC:6738	LYPLA2	4429
ENSG00000011021	48.13	protein_coding	11806096	11848079	HGNC:2024	CLCN6	41983
ENSG00000011028	52.16	protein_coding	62627670	62693597	HGNC:16875	MRC2	65927
ENSG00000011105	52.13	protein_coding	3077355	3286564	HGNC:21640	TSPAN9	209209
ENSG00000011114	40.08	protein_coding	93237550	93333092	HGNC:18269	BTBD7	95542
ENSG00000011132	56.61	protein_coding	3750772	3761692	HGNC:580	APBA3	10920
ENSG00000011143	47.45	protein_coding	58205441	58219605	HGNC:7121	MKS1	14164
ENSG00000011198	40.26	protein_coding	43690108	43734371	HGNC:21396	ABHD5	44263
ENSG00000011243	48.86	protein_coding	15380050	15419141	HGNC:29857	AKAP8L	39091
ENSG00000011258	39.5	protein_coding	51177425	51260163	HGNC:19866	MBTD1	82738
ENSG00000011260	40.36	protein_coding	51260546	51297936	HGNC:24274	UTP18	37390
ENSG00000011275	45.52	protein_coding	5620047	5781696	HGNC:21698	RNF216	161649
ENSG00000011295	40.8	protein_coding	15999784	16045015	HGNC:26006	TTC19	45231
ENSG00000011304	61.17	protein_coding	797075	812327	HGNC:9583	PTBP1	15252
ENSG00000011376	42.34	protein_coding	45388561	45554726	HGNC:17095	LARS2	166165
ENSG00000011405	39.84	protein_coding	17077730	17207986	HGNC:8971	PIK3C2A	130256
ENSG00000011422	49.94	protein_coding	43646095	43670547	HGNC:9053	PLAUR	24452
ENSG00000011426	37.87	protein_coding	36389821	36453791	HGNC:14082	ANLN	63970
ENSG00000011451	58.15	protein_coding	15419978	15449956	HGNC:30917	WIZ	29978
ENSG00000011454	38.49	protein_coding	122940833	123104866	HGNC:17155	RABGAP1	164033
ENSG00000011478	52.54	protein_coding	45692403	45703989	HGNC:25952	QPCTL	11586
ENSG00000011485	50.7	protein_coding	46347087	46392981	HGNC:9322	PPP5C	45894
ENSG00000011523	47.82	protein_coding	65056354	65087004	HGNC:29076	CEP68	30650
ENSG00000011566	36.89	protein_coding	39249266	39437301	HGNC:6865	MAP4K3	188035
ENSG00000011638	43.7	protein_coding	21158377	21180616	HGNC:30136	LDAF1	22239
ENSG00000012048	44.09	protein_coding	43044295	43170245	HGNC:1100	BRCA1	125950
ENSG00000012061	52.1	protein_coding	45407334	45478828	HGNC:3433	ERCC1	71494
ENSG00000012174	38.5	protein_coding	21839617	21885423	HGNC:15455	MBTPS2	45806
ENSG00000012211	55.64	protein_coding	49174802	49186528	HGNC:6645	PRICKLE3	11726
ENSG00000012232	44.35	protein_coding	28600469	28756561	HGNC:3518	EXTL3	156092
ENSG00000012660	41.88	protein_coding	53267398	53349179	HGNC:21308	ELOVL5	81781
ENSG00000012822	49.2	protein_coding	53708517	53727745	HGNC:29306	CALCOCO1	19228
ENSG00000012963	43.11	protein_coding	93207241	93229215	HGNC:20344	UBR7	21974
ENSG00000012983	37.27	protein_coding	50418501	50561126	HGNC:6867	MAP4K5	142625
ENSG00000013275	49.94	protein_coding	39971165	39981764	HGNC:9551	PSMC4	10599
ENSG00000013288	54.58	protein_coding	6575189	6623362	HGNC:29623	MAN2B2	48173
ENSG00000013306	61.11	protein_coding	44319625	44324870	HGNC:24279	SLC25A39	5245
ENSG00000013364	52.54	protein_coding	29820394	29848039	HGNC:7531	MVP	27645
ENSG00000013374	44.89	protein_coding	151341772	151378449	HGNC:17623	NUB1	36677
ENSG00000013375	38.23	protein_coding	83147324	83193936	HGNC:8907	PGM3	46612
ENSG00000013392	44.9	protein_coding	83193357	83198935	HGNC:21385	RWDD2A	5578
ENSG00000013441	41.73	protein_coding	200853009	200864691	HGNC:2068	CLK1	11682
ENSG00000013503	39.73	protein_coding	106357748	106510198	HGNC:30348	POLR3B	152450
ENSG00000013523	45.16	protein_coding	76781733	76826246	HGNC:19961	ANGEL1	44513
ENSG00000013561	42.05	protein_coding	141958328	141990292	HGNC:10058	RNF14	31964
ENSG00000013563	54.46	protein_coding	154401236	154412112	HGNC:2957	DNASE1L1	10876
ENSG00000013573	52.26	protein_coding	31073860	31104799	HGNC:2736	DDX11	30939
ENSG00000013583	43.51	protein_coding	12974870	13000265	HGNC:17176	HEBP1	25395
ENSG00000013619	44.08	protein_coding	150361422	150514178	HGNC:2568	MAMLD1	152756
ENSG00000013810	56.92	protein_coding	1712858	1745171	HGNC:11524	TACC3	32313
ENSG00000014123	33.38	protein_coding	96521595	96555276	HGNC:23039	UFL1	33681
ENSG00000014138	47.83	protein_coding	65261913	65305959	HGNC:30073	POLA2	44046
ENSG00000014164	58.38	protein_coding	143437659	143541447	HGNC:28972	ZC3H3	103788
ENSG00000014216	51.18	protein_coding	65180566	65212006	HGNC:1476	CAPN1	31440
ENSG00000014641	38.05	protein_coding	63588609	63607197	HGNC:6970	MDH1	18588
ENSG00000014824	36.97	protein_coding	41990502	42090461	HGNC:1329	SLC30A9	99959
ENSG00000014914	49.97	protein_coding	149928651	149936879	HGNC:24307	MTMR11	8228
ENSG00000014919	42.22	protein_coding	99710868	99732127	HGNC:2263	COX15	21259
ENSG00000015133	51.25	protein_coding	91271323	91417844	HGNC:19967	CCDC88C	146521
ENSG00000015153	39.02	protein_coding	42157104	42238349	HGNC:17363	YAF2	81245
ENSG00000015171	37.94	protein_coding	130088	254637	HGNC:16966	ZMYND11	124549
ENSG00000015285	50.82	protein_coding	48676596	48691431	HGNC:12731	WAS	14835
ENSG00000015475	52.51	protein_coding	17734138	17774770	HGNC:1050	BID	40632
ENSG00000015479	38.77	protein_coding	139293674	139331677	HGNC:6912	MATR3	38003
ENSG00000015532	56.47	protein_coding	50346126	50363138	HGNC:15517	XYLT2	17012
ENSG00000015676	44.47	protein_coding	44379119	44490658	HGNC:22208	NUDCD3	111539
ENSG00000016402	41.2	protein_coding	136999971	137045180	HGNC:6003	IL20RA	45209
ENSG00000016864	44.5	protein_coding	52694486	52706032	HGNC:24870	GLT8D1	11546
ENSG00000017260	37.56	protein_coding	130850595	131016712	HGNC:13211	ATP2C1	166117
ENSG00000017797	41.37	protein_coding	9475009	9538114	HGNC:9841	RALBP1	63105
ENSG00000018189	39.9	protein_coding	70704204	70808619	HGNC:30285	RUFY3	104415
ENSG00000018280	55.34	protein_coding	218382029	218396894	HGNC:10907	SLC11A1	14865
ENSG00000018408	41.07	protein_coding	149517235	149736714	HGNC:24042	WWTR1	219479
ENSG00000018510	36.6	protein_coding	177392746	177567024	HGNC:327	AGPS	174278
ENSG00000018610	44.29	protein_coding	119538149	119565409	HGNC:26239	STEEP1	27260
ENSG00000018699	39.46	protein_coding	32628032	32821051	HGNC:25986	TTC27	193019
ENSG00000019144	54.3	protein_coding	118606440	118658031	HGNC:23697	PHLDB1	51591
ENSG00000019485	47.84	protein_coding	45095806	45235110	HGNC:13996	PRDM11	139304
ENSG00000019549	40.53	protein_coding	48917598	48921740	HGNC:11094	SNAI2	4142
ENSG00000019995	39.68	protein_coding	124942123	124988189	HGNC:18224	ZRANB1	46066
ENSG00000020129	57.71	protein_coding	35557473	35567274	HGNC:17597	NCDN	9801
ENSG00000020256	44.05	protein_coding	52051663	52204308	HGNC:15940	ZFP64	152645
ENSG00000020426	36.62	protein_coding	60734742	60969965	HGNC:7181	MNAT1	235223
ENSG00000020577	43.24	protein_coding	54566117	54793315	HGNC:23023	SAMD4A	227198
ENSG00000020633	54.8	protein_coding	24899511	24965121	HGNC:10473	RUNX3	65610
ENSG00000020922	37.3	protein_coding	94415570	94493885	HGNC:7230	MRE11	78315
ENSG00000021355	43.07	protein_coding	2832332	2841959	HGNC:3311	SERPINB1	9627
ENSG00000021574	40	protein_coding	32063556	32157637	HGNC:11233	SPAST	94081
ENSG00000021762	57	protein_coding	3087107	3166739	HGNC:16392	OSBPL5	79632
ENSG00000021776	37.52	protein_coding	34851782	34969742	HGNC:29513	AQR	117960
ENSG00000022277	43.71	protein_coding	56468585	56519449	HGNC:15890	RTF2	50864
ENSG00000022567	52.64	protein_coding	141207166	141308305	HGNC:29196	SLC45A4	101139
ENSG00000022840	45.25	protein_coding	120533480	120577588	HGNC:10055	RNF10	44108
ENSG00000022976	49.04	protein_coding	102317377	102342702	HGNC:20345	ZNF839	25325
ENSG00000023041	39.22	protein_coding	112424428	112447572	HGNC:19160	ZDHHC6	23144
ENSG00000023191	60.36	protein_coding	494512	507300	HGNC:10074	RNH1	12788
ENSG00000023228	40.76	protein_coding	206114817	206159509	HGNC:7707	NDUFS1	44692
ENSG00000023287	37.73	protein_coding	52622458	52745843	HGNC:15574	RB1CC1	123385
ENSG00000023318	37.86	protein_coding	99979185	100099052	HGNC:18311	ERP44	119867
ENSG00000023330	45.47	protein_coding	52198086	52214327	HGNC:396	ALAS1	16241
ENSG00000023516	36.45	protein_coding	42272152	42323261	HGNC:369	AKAP11	51109
ENSG00000023572	39.59	protein_coding	193090866	193106114	HGNC:16065	GLRX2	15248
ENSG00000023608	39.55	protein_coding	61762420	61796428	HGNC:11134	SNAPC1	34008
ENSG00000023697	39.11	protein_coding	15911302	16037381	HGNC:24269	DERA	126079
ENSG00000023734	36.48	protein_coding	15882387	15903478	HGNC:30796	STRAP	21091
ENSG00000023892	48.5	protein_coding	35297818	35321771	HGNC:2760	DEF6	23953
ENSG00000023902	51.63	protein_coding	150149183	150164720	HGNC:24310	PLEKHO1	15537
ENSG00000024048	39.11	protein_coding	42564029	42693505	HGNC:21289	UBR2	129476
ENSG00000024422	52.89	protein_coding	47713422	47743134	HGNC:3243	EHD2	29712
ENSG00000024526	34.94	protein_coding	68474152	68497221	HGNC:22949	DEPDC1	23069
ENSG00000024862	38.91	protein_coding	138773769	138793319	HGNC:21098	CCDC28A	19550
ENSG00000025039	42.23	protein_coding	89364616	89412273	HGNC:19903	RRAGD	47657
ENSG00000025156	35.55	protein_coding	122399551	122433119	HGNC:5225	HSF2	33568
ENSG00000025293	44.08	protein_coding	35771974	35950370	HGNC:16098	PHF20	178396
ENSG00000025434	50.86	protein_coding	47248300	47269033	HGNC:7966	NR1H3	20733
ENSG00000025708	64.42	protein_coding	50525752	50530032	HGNC:3148	TYMP	4280
ENSG00000025770	55.48	protein_coding	50508224	50524780	HGNC:25071	NCAPH2	16556
ENSG00000025772	44.95	protein_coding	44942130	44960397	HGNC:15746	TOMM34	18267
ENSG00000025796	39.82	protein_coding	107867756	107958208	HGNC:21082	SEC63	90452
ENSG00000025800	44.21	protein_coding	32108056	32176563	HGNC:6399	KPNA6	68507
ENSG00000026036	59.83	protein_coding	63659300	63698684	HGNC:44095	RTEL1-TNFRSF6B	39384
ENSG00000026103	39.26	protein_coding	88953813	89029605	HGNC:11920	FAS	75792
ENSG00000026508	41.56	protein_coding	35138882	35232402	HGNC:1681	CD44	93520
ENSG00000026652	45.36	protein_coding	161129967	161274061	HGNC:20885	AGPAT4	144094
ENSG00000026950	44.46	protein_coding	26402237	26415208	HGNC:1138	BTN3A1	12971
ENSG00000027001	39.76	protein_coding	23730189	23889400	HGNC:7104	MIPEP	159211
ENSG00000027075	42.48	protein_coding	61187559	61550980	HGNC:9403	PRKCH	363421
ENSG00000027697	38.8	protein_coding	137197483	137219449	HGNC:5439	IFNGR1	21966
ENSG00000027847	57.85	protein_coding	177600132	177610330	HGNC:930	B4GALT7	10198
ENSG00000027869	55.53	protein_coding	156806240	156816848	HGNC:10821	SH2D2A	10608
ENSG00000028116	35.24	protein_coding	57907629	58159920	HGNC:12719	VRK2	252291
ENSG00000028137	55.4	protein_coding	12166991	12209228	HGNC:11917	TNFRSF1B	42237
ENSG00000028203	38.6	protein_coding	95217746	95302799	HGNC:18258	VEZT	85053
ENSG00000028310	55.12	protein_coding	850291	892801	HGNC:25818	BRD9	42510
ENSG00000028528	43.68	protein_coding	64094123	64146090	HGNC:11172	SNX1	51967
ENSG00000028839	37.6	protein_coding	133952170	133990432	HGNC:11589	TBPL1	38262
ENSG00000029153	39.27	protein_coding	27332836	27425289	HGNC:18984	BMAL2	92453
ENSG00000029363	35.59	protein_coding	136256627	136289851	HGNC:16863	BCLAF1	33224
ENSG00000029364	40.2	protein_coding	69398015	69462390	HGNC:20182	SLC39A9	64375
ENSG00000029639	38.43	protein_coding	155256134	155314493	HGNC:17037	TFB1M	58359
ENSG00000029725	41.34	protein_coding	5282265	5386340	HGNC:17677	RABEP1	104075
ENSG00000029993	51.17	protein_coding	150980509	150990771	HGNC:5004	HMGB3	10262
ENSG00000030066	41.86	protein_coding	47778087	47848555	HGNC:18017	NUP160	70468
ENSG00000030110	57.18	protein_coding	33572547	33580293	HGNC:949	BAK1	7746
ENSG00000030419	34.84	protein_coding	212999691	213152427	HGNC:13177	IKZF2	152736
ENSG00000030582	57.73	protein_coding	44345246	44353106	HGNC:4601	GRN	7860
